country,year,tiv
Pakistan,1950,
Pakistan,1951,
Pakistan,1952,
Pakistan,1953,
Pakistan,1954,
Pakistan,1955,
Pakistan,1956,
Pakistan,1957,
Pakistan,1958,
Pakistan,1959,
Pakistan,1960,
Pakistan,1961,
Pakistan,1962,
Pakistan,1963,
Pakistan,1964,
Pakistan,1965,
Pakistan,1966,
Pakistan,1967,6
Pakistan,1968,
Pakistan,1969,
Pakistan,1970,
Pakistan,1971,3
Pakistan,1972,
Pakistan,1973,
Pakistan,1974,
Pakistan,1975,
Pakistan,1976,
Pakistan,1977,
Pakistan,1978,
Pakistan,1979,
Pakistan,1980,15
Pakistan,1981,30
Pakistan,1982,30
Pakistan,1983,
Pakistan,1984,
Pakistan,1985,12
Pakistan,1986,
Pakistan,1987,
Pakistan,1988,
Pakistan,1989,1
Pakistan,1990,82
Pakistan,1991,3
Pakistan,1992,
Pakistan,1993,
Pakistan,1994,2
Pakistan,1995,
Pakistan,1996,
Pakistan,1997,
Pakistan,1998,
Pakistan,1999,
Pakistan,2000,4
Pakistan,2001,
Pakistan,2002,9
Pakistan,2003,8
Pakistan,2004,9
Pakistan,2005,26
Pakistan,2006,4
Pakistan,2007,
Pakistan,2008,1
Pakistan,2009,
Pakistan,2010,
Pakistan,2011,
Pakistan,2012,
Pakistan,2013,
Pakistan,2014,
Pakistan,2015,
Pakistan,2016,1
Pakistan,2017,3
Pakistan,2018,3
Pakistan,2019,1
Pakistan,2020,
Pakistan,2021,72
Pakistan,2022,1
Pakistan,2023,5
Pakistan,2024,6
Pakistan,2025,127
