country,year,tiv
South Africa,1950,
South Africa,1951,
South Africa,1952,
South Africa,1953,
South Africa,1954,
South Africa,1955,
South Africa,1956,
South Africa,1957,
South Africa,1958,
South Africa,1959,8
South Africa,1960,27
South Africa,1961,33
South Africa,1962,
South Africa,1963,
South Africa,1964,
South Africa,1965,
South Africa,1966,
South Africa,1967,8
South Africa,1968,9
South Africa,1969,13
South Africa,1970,2
South Africa,1971,7
South Africa,1972,22
South Africa,1973,1
South Africa,1974,2
South Africa,1975,29
South Africa,1976,20
South Africa,1977,0
South Africa,1978,
South Africa,1979,
South Africa,1980,49
South Africa,1981,49
South Africa,1982,1
South Africa,1983,
South Africa,1984,
South Africa,1985,25
South Africa,1986,25
South Africa,1987,28
South Africa,1988,25
South Africa,1989,0
South Africa,1990,
South Africa,1991,54
South Africa,1992,85
South Africa,1993,54
South Africa,1994,13
South Africa,1995,17
South Africa,1996,31
South Africa,1997,7
South Africa,1998,14
South Africa,1999,24
South Africa,2000,21
South Africa,2001,32
South Africa,2002,22
South Africa,2003,47
South Africa,2004,74
South Africa,2005,36
South Africa,2006,200
South Africa,2007,137
South Africa,2008,142
South Africa,2009,108
South Africa,2010,250
South Africa,2011,76
South Africa,2012,193
South Africa,2013,109
South Africa,2014,89
South Africa,2015,76
South Africa,2016,118
South Africa,2017,100
South Africa,2018,118
South Africa,2019,129
South Africa,2020,150
South Africa,2021,143
South Africa,2022,113
South Africa,2023,105
South Africa,2024,96
South Africa,2025,115
