country,year,tiv
Soviet Union,1950,4071
Soviet Union,1951,3728
Soviet Union,1952,6018
Soviet Union,1953,8724
Soviet Union,1954,8734
Soviet Union,1955,5922
Soviet Union,1956,6540
Soviet Union,1957,6578
Soviet Union,1958,7821
Soviet Union,1959,7871
Soviet Union,1960,6414
Soviet Union,1961,6247
Soviet Union,1962,7750
Soviet Union,1963,6866
Soviet Union,1964,8761
Soviet Union,1965,8532
Soviet Union,1966,10230
Soviet Union,1967,11582
Soviet Union,1968,11009
Soviet Union,1969,9755
Soviet Union,1970,10101
Soviet Union,1971,11387
Soviet Union,1972,13413
Soviet Union,1973,15796
Soviet Union,1974,15252
Soviet Union,1975,11742
Soviet Union,1976,9982
Soviet Union,1977,15146
Soviet Union,1978,17637
Soviet Union,1979,17043
Soviet Union,1980,18558
Soviet Union,1981,17369
Soviet Union,1982,16838
Soviet Union,1983,14851
Soviet Union,1984,14073
Soviet Union,1985,14365
Soviet Union,1986,14888
Soviet Union,1987,13501
Soviet Union,1988,12301
Soviet Union,1989,11444
Soviet Union,1990,9864
Soviet Union,1991,5524
Soviet Union,1992,
Soviet Union,1993,
Soviet Union,1994,
Soviet Union,1995,
Soviet Union,1996,
Soviet Union,1997,
Soviet Union,1998,
Soviet Union,1999,
Soviet Union,2000,
Soviet Union,2001,
Soviet Union,2002,
Soviet Union,2003,
Soviet Union,2004,
Soviet Union,2005,
Soviet Union,2006,
Soviet Union,2007,
Soviet Union,2008,
Soviet Union,2009,
Soviet Union,2010,
Soviet Union,2011,
Soviet Union,2012,
Soviet Union,2013,
Soviet Union,2014,
Soviet Union,2015,
Soviet Union,2016,
Soviet Union,2017,
Soviet Union,2018,
Soviet Union,2019,
Soviet Union,2020,
Soviet Union,2021,
Soviet Union,2022,
Soviet Union,2023,
Soviet Union,2024,
Soviet Union,2025,
