country,year,tiv
South Sudan,1950,
South Sudan,1951,
South Sudan,1952,
South Sudan,1953,
South Sudan,1954,
South Sudan,1955,
South Sudan,1956,
South Sudan,1957,
South Sudan,1958,
South Sudan,1959,
South Sudan,1960,
South Sudan,1961,
South Sudan,1962,
South Sudan,1963,
South Sudan,1964,
South Sudan,1965,
South Sudan,1966,
South Sudan,1967,
South Sudan,1968,
South Sudan,1969,
South Sudan,1970,
South Sudan,1971,
South Sudan,1972,
South Sudan,1973,
South Sudan,1974,
South Sudan,1975,
South Sudan,1976,
South Sudan,1977,
South Sudan,1978,
South Sudan,1979,
South Sudan,1980,
South Sudan,1981,
South Sudan,1982,
South Sudan,1983,
South Sudan,1984,
South Sudan,1985,
South Sudan,1986,
South Sudan,1987,
South Sudan,1988,
South Sudan,1989,
South Sudan,1990,
South Sudan,1991,
South Sudan,1992,
South Sudan,1993,
South Sudan,1994,
South Sudan,1995,
South Sudan,1996,
South Sudan,1997,
South Sudan,1998,
South Sudan,1999,
South Sudan,2000,
South Sudan,2001,
South Sudan,2002,
South Sudan,2003,
South Sudan,2004,
South Sudan,2005,
South Sudan,2006,
South Sudan,2007,37
South Sudan,2008,44
South Sudan,2009,1
South Sudan,2010,2
South Sudan,2011,65
South Sudan,2012,2
South Sudan,2013,13
South Sudan,2014,41
South Sudan,2015,19
South Sudan,2016,8
South Sudan,2017,
South Sudan,2018,
South Sudan,2019,
South Sudan,2020,
South Sudan,2021,8
South Sudan,2022,10
South Sudan,2023,
South Sudan,2024,
South Sudan,2025,
