country,year,tiv
Soviet Union,1950,36
Soviet Union,1951,
Soviet Union,1952,
Soviet Union,1953,8
Soviet Union,1954,70
Soviet Union,1955,945
Soviet Union,1956,1538
Soviet Union,1957,1500
Soviet Union,1958,1500
Soviet Union,1959,975
Soviet Union,1960,692
Soviet Union,1961,175
Soviet Union,1962,174
Soviet Union,1963,237
Soviet Union,1964,463
Soviet Union,1965,485
Soviet Union,1966,585
Soviet Union,1967,577
Soviet Union,1968,543
Soviet Union,1969,578
Soviet Union,1970,523
Soviet Union,1971,525
Soviet Union,1972,795
Soviet Union,1973,583
Soviet Union,1974,957
Soviet Union,1975,771
Soviet Union,1976,800
Soviet Union,1977,876
Soviet Union,1978,803
Soviet Union,1979,842
Soviet Union,1980,767
Soviet Union,1981,804
Soviet Union,1982,671
Soviet Union,1983,725
Soviet Union,1984,914
Soviet Union,1985,1004
Soviet Union,1986,1422
Soviet Union,1987,1500
Soviet Union,1988,1654
Soviet Union,1989,1206
Soviet Union,1990,655
Soviet Union,1991,132
Soviet Union,1992,
Soviet Union,1993,
Soviet Union,1994,
Soviet Union,1995,
Soviet Union,1996,
Soviet Union,1997,
Soviet Union,1998,
Soviet Union,1999,
Soviet Union,2000,
Soviet Union,2001,
Soviet Union,2002,
Soviet Union,2003,
Soviet Union,2004,
Soviet Union,2005,
Soviet Union,2006,
Soviet Union,2007,
Soviet Union,2008,
Soviet Union,2009,
Soviet Union,2010,
Soviet Union,2011,
Soviet Union,2012,
Soviet Union,2013,
Soviet Union,2014,
Soviet Union,2015,
Soviet Union,2016,
Soviet Union,2017,
Soviet Union,2018,
Soviet Union,2019,
Soviet Union,2020,
Soviet Union,2021,
Soviet Union,2022,
Soviet Union,2023,
Soviet Union,2024,
Soviet Union,2025,
