country,year,tiv
Cameroon,1950,
Cameroon,1951,
Cameroon,1952,
Cameroon,1953,
Cameroon,1954,
Cameroon,1955,
Cameroon,1956,
Cameroon,1957,
Cameroon,1958,
Cameroon,1959,
Cameroon,1960,
Cameroon,1961,0
Cameroon,1962,
Cameroon,1963,2
Cameroon,1964,0
Cameroon,1965,2
Cameroon,1966,2
Cameroon,1967,3
Cameroon,1968,3
Cameroon,1969,
Cameroon,1970,
Cameroon,1971,8
Cameroon,1972,1
Cameroon,1973,15
Cameroon,1974,
Cameroon,1975,
Cameroon,1976,29
Cameroon,1977,73
Cameroon,1978,
Cameroon,1979,1
Cameroon,1980,
Cameroon,1981,28
Cameroon,1982,113
Cameroon,1983,5
Cameroon,1984,125
Cameroon,1985,16
Cameroon,1986,11
Cameroon,1987,5
Cameroon,1988,2
Cameroon,1989,3
Cameroon,1990,8
Cameroon,1991,
Cameroon,1992,3
Cameroon,1993,
Cameroon,1994,
Cameroon,1995,
Cameroon,1996,5
Cameroon,1997,6
Cameroon,1998,9
Cameroon,1999,4
Cameroon,2000,
Cameroon,2001,6
Cameroon,2002,10
Cameroon,2003,
Cameroon,2004,
Cameroon,2005,5
Cameroon,2006,3
Cameroon,2007,
Cameroon,2008,1
Cameroon,2009,
Cameroon,2010,10
Cameroon,2011,
Cameroon,2012,9
Cameroon,2013,139
Cameroon,2014,124
Cameroon,2015,10
Cameroon,2016,23
Cameroon,2017,8
Cameroon,2018,2
Cameroon,2019,4
Cameroon,2020,2
Cameroon,2021,4
Cameroon,2022,2
Cameroon,2023,2
Cameroon,2024,
Cameroon,2025,
